descriptors,mean,std
n_atom_in_rings,21.458156609185124,6.6877625078204455
n_atom_in_conjugated_ring,16.110449314441432,7.659368847403318
n_atoms_not_in_conjugated_ring,7.794641771509087,9.52605644603835
n_atom_in_chain,4.359455129351348,4.346139086666164
n_atom_exocyclic,0.52802672140645,0.9539272978423783
n_nitrogen,3.3123815381974495,1.9702322310295057
n_nitrogen_in_ring,2.5306677490648224,1.8073498930701282
n_oxygen,2.097224507020091,1.7893448153864424
n_oxygen_in_ring,2.097224507020091,1.7893448153864424
n_sulfur,0.3731251743400113,0.6328967062919072
n_heteroatoms,5.795519729924971,2.784999315177933
n_heteroatoms_in_ring,3.2425382475163254,1.9212574209518267
n_atom_spiro_atoms,0.05467302754393368,0.2593766822011049
n_heteroatom_more_than_2_conn,0.9687850915150952,0.9581004558394862
n_carbon_atleast_2_heteroatoms,2.069144142533241,1.5352749346190349
n_atom_at_least_2_nei_more_than_2_conn,0.19871721513736204,0.7638483096021572
abs_scaffold_format_charge,0.02536423651591769,0.1800867812152821
n_bonds,29.48025577020735,9.663772089981492
n_multiple_non_conj_ring_bonds,0.47417443299264017,1.7905622521324958
n_bonds_2_heteroatoms,0.7148083511547567,1.1872834125366667
n_carbon_het_carbon_het_bonds,2.1429802664988236,2.4034133213550892
n_bonds_at_least_3_conn,3.782085714490069,2.645448856486075
n_exocyclic_single_bonds_carbon,2.113381802836646,1.530800877813543
n_exocyclic_single_bonds_nitrogen,0.4821976497178374,0.6906790925417918
n_non_ring_bonds_2_conj_rings,0.03471780163504109,0.19511183865657852
n_non_ring_bonds_conj_nonconj_rings,0.3075214751131869,0.5786045316827603
n_bonds_atoms_with_at_least_one_nei_with_2_conn,5.487683548740103,3.758222227849424
n_simple_rings,4.142375887792981,1.4057773927482549
size_largest_ring,6.323499960661741,1.9406423078131283
n_simple_rings_no_heteroatoms,1.9742155593542803,1.294886964745681
n_simple_rings_1_heteroatoms,1.1619609764471115,1.0362857807994115
n_simple_rings_2_heteroatoms,0.8428490197621108,0.8628887943852654
n_simple_rings_at_least_3_heteroatoms,0.16335033222947795,0.43019079399813903
n_simple_non_conj_5_atoms_rings,0.3903446031484912,0.6697285384074524
n_simple_non_conj_6_atoms_rings,0.7489432313161151,1.0216446825067527
n_ring_system,3.0576680995329477,1.0405665931435786
n_ring_system_with_2_non_conj_simple_ring,0.10485255305300652,0.31549593858968245
n_ring_system_with_2_conj_simple_ring,0.4096167738336206,0.5773431443932956
n_ring_system_with_conj_non_conj_simple_ring,0.14436246987046983,0.3730667810131944
n_ring_system_with_3_conj_simple_ring,0.04508879717908921,0.21488213324148658
n_ring_system_with_3_non_conj_simple_ring,0.028861765358013918,0.17167878006821063
n_ring_system_with_greater_one_conj_nonconj_simple_ring,0.0599354137311981,0.2420666727681309
